Corporation,ROE - Return On Equity,Net Profit Margin,Operating Cash Flow Per Share,Debt/Equity Ratio
American States Water Co.,8.1724,8.3224,1.9957,0.8847
Automatic Data Processing Inc.,22.0354,13.569,0.2501,0.0073
Avnet Inc.,13.6376,2.1418,-7.6079,0.4255
California Water Service Co.,9.6412,9.0246,1.7438,0.9491
Cardinal Health Inc.,11.1256,0.6518,1.9725,0.4036
Carpenter Technology Corp.,0.3662,0.1585,-0.6973,0.4527
Companhia de Saneamento Basico do Estado de Sao Paulo,13.0426,20.4126,1.5316,0.6231
Compass Group PLC,21.2038,15.9279,1.2684,0.89
Diageo PLC,37.0226,17.822,1.5979,1.8312
Entergy Corp,14.5245,11.4567,14.9775,1.3798
FMC Technologies Inc.,12.6645,9.9892,4.7202,0.5031
FedEx Corp.,8.5729,3.4088,1.1699,0.1397
Flowserve Corp.,23.7731,9.8021,2.5506,0.3145
Fluor Corp.,21.9826,3.1145,5.0039,0.0383
Fresh Del Monte Produce Inc.,8.53,4.1157,4.0444,0.1918
General Mills Inc.,27.1778,10.4574,0.6462,1.1377
Jabil Inc.,10.7213,1.2591,-0.7281,0.7449
Kennametal Inc.,3.7216,2.4638,-0.6116,0.2532
Kohl's Corp.,12.3902,5.6642,1.9397,0.2633
Koppers Holdings Inc.,39.5986,1.672,5.4618,6.1186
Korea Electric Power Corp.,-0.1871,-0.1404,4.0751,0.8289
Madison Gas & Electric Co.,10.1629,9.5532,3.4073,0.7712
Micron Technology Inc.,14.1521,22.8974,0.3803,0.2222
Microsoft Corp.,40.628,30.0237,0.5805,0.1286
National Grid Gas PLC,31.2247,9.9165,13.2046,5.9833
National Grid USA,31.2247,9.9165,13.2046,5.9833
Newmont USA Ltd.,16.7208,16.8332,6.0513,0.3813
Northwest Natural Gas Co.,11.3803,7.4179,9.0433,1.1191
PNM Resources Inc,3.7913,7.5446,0.9567,0.9539
Rent-A-Center Inc.,13.4552,6.0995,4.9592,0.5701
Shaw Communications Inc.,22.5964,14.3299,0.4769,1.4374
Southern Copper Corp.,24.0025,24.8878,1.1322,0.3288
Southern Power Company,24.0025,24.8878,1.1322,0.3288
Teck Resources Ltd.,6.7165,23.8597,4.4575,0.5489
TransAlta Corp.,5.7311,6.5341,2.5387,1.3038
TransAlta Corporation,5.7311,6.5341,2.5387,1.3038
Tutor Perini Corporation,10.6379,2.6604,-0.5307,0.0901
Universal Health Services Inc.,16.9743,4.9829,5.5076,0.535
Vector Ltd.,-529.8164,3.095,0.05,-108.8904
ALLETE Inc.,7.5939,8.3021,2.4005,0.798
Abbott Laboratories,24.78,18.6767,4.6782,0.7097
Air Products and Chemicals Inc.,16.9721,11.9439,0.6135,0.7246
Alaska Air Group Inc.,22.7067,6.5501,1.7357,1.3879
Alliant Energy Corp.,4.6419,3.2387,2.9773,0.8932
American Axle & Manufacturing Holdings Inc.,-24.4606,5.0548,2.9232,-2.1577
AmerisourceBergen Corp.,21.3182,0.8187,1.2707,0.4548
Amgen Inc.,19.3243,30.7381,-0.2088,0.5581
Amkor Technology Inc.,40.1033,7.158,0.9937,3.6802
Amphenol Corp.,21.4458,13.9671,-0.2345,0.3415
Analog Devices Inc.,22.6825,28.9777,-0.319,0.2335
Arrow Electronics Inc.,14.7523,2.5588,-5.2071,0.5605
AstraZeneca PLC,36.2327,22.9972,4.0479,0.5313
Atmos Energy Corp.,8.7154,4.4161,-2.1727,1.0539
AutoZone Inc.,-99.9386,10.0278,7.7639,-3.937
Avery Dennison Corp.,-61.2506,-14.3978,5.4923,1.1921
BCE Inc.,13.5765,9.7998,5.562,0.6047
Baker Hughes Inc.,5.7329,5.6334,-1.8168,0.2719
Ball Corporation,33.0861,6.1337,-0.0696,1.6961
Barrick Gold Corp.,-27.7073,-52.532,-2.5714,0.3922
Beazer Homes USA Inc.,-7.4465,-3.4353,-6.2994,3.051
Belden Inc.,9.5966,7.0273,-0.9236,0.8632
Bio-Rad Laboratories Inc.,12.1346,9.6253,-3.6566,0.6259
Biogen Inc.,16.4893,21.3143,2.6613,0.2209
BorgWarner Inc.,17.153,6.6763,0.5787,0.511
Braskem S.A.,-21.7924,-15.2618,-3.8669,1.1917
Bristol-Myers Squibb Co.,28.8592,15.8592,0.5454,0.3482
Brookfield Asset Management Inc.,2.9534,3.7577,0.8167,1.9973
CSX Corp.,17.9655,14.6954,0.3693,0.9959
CVS Health Corporation,9.0769,3.5781,0.6878,0.2668
Calumet Specialty Products Partners LP,4.3932,0.7471,0.6791,0.9272
Cameco Corp.,13.0338,47.4915,1.5588,0.215
Canadian Natural Resources Ltd.,12.2173,11.8489,0.8872,0.405
Caterpillar Inc.,25.3866,6.3398,-2.6804,2.6158
Cenovus Energy Inc.,8.4025,7.3983,-1.3063,0.3424
Central Garden & Pet Co.,8.9818,3.0081,-1.0769,0.7522
Chevron Corporation,11.4119,6.1077,9.6817,0.1136
Ciena Corp.,-209.3715,-26.9695,-2.5411,9.0569
Comcast Corp.,8.2549,9.5817,0.2003,0.707
Commercial Vehicle Group Inc.,-5792.089,1.0852,-0.183,-1473.098
Comstock Resources Inc.,-1.833,-5.6098,14.6203,0.4804
ConocoPhillips,14.9112,17.9332,3.0988,0.3414
Constellation Brands Inc.,21.9248,16.7917,0.9662,1.2682
Cummins Inc.,22.8183,7.8633,-0.6485,0.1583
Cumulus Media Inc.,-6.4332,12.4248,0.3234,-1.7316
D.R. Horton Inc.,9.3446,5.5702,-1.3745,0.828
DENTSPLY SIRONA Inc.,13.9972,11.9634,0.1706,0.3203
DTE Energy Center LLC,9.5611,7.39,-0.2927,1.2064
DTE Energy Co.,9.5611,7.39,-0.2927,1.2064
Dana Incorporated,3.5156,-0.3547,0.1509,0.5302
Danaher Corp.,9.3468,10.9512,2.6819,0.2522
Devon Energy Corp.,12.1176,45.7747,1.7738,0.2924
Douglas Dynamics LLC,0.9806,0.9333,-0.9157,0.7148
Dover Corp.,13.6858,11.4593,0.4082,0.3993
EOG Resources Inc.,1.5702,2.6337,-0.4798,0.5105
EQT Corporation,7.396,16.5673,-0.1098,0.6506
Eastman Chemical Co.,10.1785,3.0937,5.1635,1.0601
Eastman Kodak Co.,49.7674,-11.4634,-0.3081,-1.1581
Ecolab Inc.,20.835,7.0722,2.897,0.4813
Eli Lilly & Co.,45.4453,19.8241,3.9472,0.6994
Emerson Electric Co.,20.408,10.2857,0.2812,0.509
Enbridge Inc.,12.6497,6.4124,-0.035,1.8451
Endo International PLC,15.9161,15.0916,1.3323,0.5938
EnerSys,7.9447,3.9448,-1.6429,0.4469
Enterprise Products Operating LLC,11.627,0.9508,-1.7011,1.1397
Equifax Inc.,13.8947,13.6305,3.2713,0.727
Equinix Inc.,5.8716,7.8675,8.9599,1.2558
Exelon Corp.,18.897,13.7471,-1.2959,0.9458
Exxon Mobil Corp.,17.0358,6.2076,5.8659,0.0832
Fiserv Inc.,15.6312,11.6753,1.3674,1.2032
"Gilead Sciences, Inc.",40.3617,37.5925,1.6487,0.184
GlaxoSmithKline Capital Inc.,62.8027,19.9838,4.73,1.6249
Great Lakes Dredge & Dock Corp.,12.181,5.0383,1.177,0.6604
Greenbrier Companies Inc. (The),2.8012,0.5655,-5.0585,1.6857
Greif Inc.,15.6076,5.8582,-1.9013,0.7684
Griffon Corp.,1.3372,0.7413,-0.0398,0.7385
Group 1 Automotive Inc.,4.8385,0.7254,15.4839,1.3947
Hanesbrands Inc.,34.2315,5.0963,-0.743,3.788
Harley-Davidson Inc.,3.3509,-1.1526,2.6074,2.6735
Hershey Company (The),57.342,8.2284,4.654,2.0281
Honeywell International Inc.,18.1422,6.2504,0.1607,0.6159
Hunt (J.B.) Transport Services Inc.,21.1904,4.2592,2.757,0.8775
IDACORP Inc.,9.2748,13.7832,0.2894,1.0923
IDEX Corp.,8.9418,8.5278,2.6327,0.3155
ITT Corp.,-2.9231,42.5398,-3.6652,0.3049
